date,sregion,eregion,e1,e2,e3,e4,e5,e6,etotal,s1,s2,s3,s4,s5,s6,stotal
2020-04-08,강원,충북,4337,234,295,267,445,244,5822,4386,235,265,253,431,248,5818
2020-04-08,경기,강원,19068,648,884,703,932,912,23147,18187,643,921,684,787,908,22130
2020-04-08,경기,경기,437804,23198,23908,19066,25084,31545,560605,437804,23198,23908,19066,25084,31545,560605
2020-04-08,경기,경남,2216,86,281,790,580,70,4023,1526,71,209,569,433,47,2855
2020-04-08,경기,경북,3207,177,438,773,547,112,5254,3085,185,402,902,590,104,5268
2020-04-08,경기,광주,612,27,115,326,160,14,1254,518,17,92,232,114,20,993
2020-04-08,경기,대구,1361,89,152,394,200,33,2229,1899,120,175,463,472,59,3188
2020-04-08,경기,대전,1706,92,140,119,70,86,2213,1682,100,139,95,55,71,2142
2020-04-08,경기,부산,174,22,49,202,159,2,608,197,17,30,142,288,10,684
2020-04-08,경기,서울,146307,7294,8209,5324,4260,9521,180915,147072,6958,8516,4901,3899,9557,180903
2020-04-08,경기,세종,33,0,5,1,1,0,40,36,2,2,3,1,5,49
2020-04-08,경기,울산,40,1,8,17,16,0,82,27,1,4,34,62,0,128
2020-04-08,경기,전남,619,21,61,144,151,27,1023,668,17,60,150,110,20,1025
2020-04-08,경기,전북,1133,54,107,127,179,39,1639,1158,51,127,155,185,32,1708
2020-04-08,경기,충남,36641,1549,2602,2456,4444,1870,49562,36178,1473,2401,2354,4187,1815,48408
2020-04-08,경기,충북,26429,2303,2841,3264,3763,1234,39834,25992,2204,2695,2863,4040,1211,39005
2020-04-08,경남,강원,59,1,4,17,16,0,97,101,2,6,20,29,3,161
2020-04-08,경남,경기,1526,71,209,569,433,47,2855,2216,86,281,790,580,70,4023
2020-04-08,경남,경남,185740,9869,9405,7057,13030,14136,239237,185740,9869,9405,7057,13030,14136,239237
2020-04-08,경남,경북,8075,577,854,937,1859,333,12635,9966,848,1072,1209,2766,454,16315
2020-04-08,경남,광주,852,58,112,202,133,22,1379,874,59,150,158,111,23,1375
2020-04-08,경남,대구,10078,701,747,999,1678,386,14589,7806,486,533,418,459,353,10055
2020-04-08,경남,대전,539,17,67,83,29,19,754,760,24,80,111,60,22,1057
2020-04-08,경남,부산,84367,2601,2555,1941,4757,5851,102072,82889,2738,2646,1979,4878,5823,100953
2020-04-08,경남,서울,1556,41,262,303,168,50,2380,2200,47,272,197,106,70,2892
2020-04-08,경남,세종,123,0,6,8,10,6,153,202,5,6,16,15,8,252
2020-04-08,경남,울산,9001,644,601,461,645,577,11929,8642,604,683,449,637,559,11574
2020-04-08,경남,전남,5204,274,394,490,1302,235,7899,5367,305,390,412,1284,227,7985
2020-04-08,경남,전북,918,45,114,134,204,28,1443,893,44,103,136,189,28,1393
2020-04-08,경남,충남,955,66,125,277,230,30,1683,1310,62,155,354,571,30,2482
2020-04-08,경남,충북,844,59,115,275,275,27,1595,1067,65,211,510,669,31,2553
2020-04-08,경북,강원,299,15,13,38,28,6,399,293,23,20,21,24,11,392
2020-04-08,경북,경기,3085,185,402,902,590,104,5268,3207,177,438,773,547,112,5254
2020-04-08,경북,경남,9966,848,1072,1209,2766,454,16315,8075,577,854,937,1859,333,12635
2020-04-08,경북,경북,68895,4033,3777,3241,5745,3694,89385,68895,4033,3777,3241,5745,3694,89385
2020-04-08,경북,광주,613,58,108,223,160,11,1173,571,52,106,173,100,7,1009
2020-04-08,경북,대구,68453,2940,2335,1496,3151,3639,82014,71163,3157,2691,1845,3771,3686,86313
2020-04-08,경북,대전,1349,68,77,126,81,52,1753,1366,52,85,136,63,69,1771
2020-04-08,경북,부산,3619,132,191,205,673,155,4975,3806,124,222,194,808,169,5323
2020-04-08,경북,서울,2366,95,220,397,156,70,3304,2331,64,214,242,111,71,3033
2020-04-08,경북,세종,230,7,14,23,12,7,293,213,12,13,20,15,8,281
2020-04-08,경북,울산,4722,202,284,371,962,264,6805,4678,165,271,344,1160,278,6896
2020-04-08,경북,전남,813,43,68,124,347,26,1421,828,62,71,118,604,25,1708
2020-04-08,경북,전북,1683,90,184,185,357,61,2560,1421,108,153,160,324,31,2197
2020-04-08,경북,충남,2467,143,370,572,660,79,4291,2714,137,373,526,789,110,4649
2020-04-08,경북,충북,4226,297,500,748,1019,165,6955,4224,285,532,691,1122,180,7034
2020-04-08,광주,강원,40,2,9,8,6,1,66,71,5,8,11,10,0,105
2020-04-08,광주,경기,518,17,92,232,114,20,993,612,27,115,326,160,14,1254
2020-04-08,광주,경남,874,59,150,158,111,23,1375,852,58,112,202,133,22,1379
2020-04-08,광주,경북,571,52,106,173,100,7,1009,613,58,108,223,160,11,1173
2020-04-08,광주,광주,13915,504,572,657,444,547,16639,13915,504,572,657,444,547,16639
2020-04-08,광주,대구,411,27,64,97,26,8,633,401,34,73,89,30,9,636
2020-04-08,광주,대전,356,18,7,22,16,5,424,373,28,12,26,15,11,465
2020-04-08,광주,부산,337,14,27,47,71,11,507,340,22,51,77,108,11,609
2020-04-08,광주,서울,486,12,22,64,17,20,621,650,24,17,47,22,13,773
2020-04-08,광주,세종,110,4,10,10,5,4,143,107,1,7,5,0,2,122
2020-04-08,광주,울산,39,1,8,3,5,0,56,41,1,6,7,12,1,68
2020-04-08,광주,전남,32794,1070,1118,798,1960,1303,39043,31941,1057,965,630,1906,1323,37822
2020-04-08,광주,전북,7323,442,503,374,508,280,9430,7341,469,439,347,493,272,9361
2020-04-08,광주,충남,3541,118,378,481,252,91,4861,3603,150,397,614,376,84,5224
2020-04-08,광주,충북,464,31,56,101,68,5,725,503,39,88,202,111,10,953
2020-04-08,대구,강원,207,4,21,23,16,5,276,132,3,4,12,9,3,163
